invoiceno,description,quantity,invoicedate,unitprice,discount,shippingcost,category,saleschannel,returnstatus,orderpriority
229473,Wall Clock,36,2020-02-07 04:00,43.7,0.2,8.14,Accessories,In-store,Not Returned,Low
578007,Wall Clock,6,2020-02-07 05:00,42.63,0.17,21.99,Apparel,Online,Not Returned,Low
944573,Wireless Mouse,19,2020-02-07 06:00,93.25,0.24,26.13,Electronics,Online,Not Returned,Low
517009,Notebook,6,2020-02-07 07:00,44.6,0.29,5.17,Stationery,In-store,Not Returned,Low
418714,Backpack,24,2020-02-07 08:00,28.82,0.01,25.77,Stationery,In-store,Not Returned,Medium
326156,Headphones,5,2020-02-07 09:00,60.11,0.25,28.9,Accessories,In-store,Not Returned,Low
268964,Desk Lamp,29,2020-02-07 10:00,89.62,0.26,16.5,Stationery,Online,Not Returned,High
625303,Blue Pen,4,2020-02-07 11:00,76.16,0.08,12.71,Stationery,Online,Not Returned,Low
161813,USB Cable,26,2020-02-07 12:00,99.05,0.01,29.89,Apparel,Online,Not Returned,Medium
127712,Desk Lamp,46,2020-02-07 13:00,35.89,0.46,12.02,Stationery,Online,Not Returned,Medium
724785,Office Chair,19,2020-02-07 14:00,13.94,0.17,17.74,Furniture,Online,Not Returned,High
867214,USB Cable,46,2020-02-07 15:00,94.8,0.31,22.54,Furniture,In-store,Not Returned,High
212816,Desk Lamp,18,2020-02-07 16:00,84.2,0.15,17.43,Accessories,Online,Not Returned,Low
228778,Notebook,6,2020-02-07 17:00,40.41,0.3,26.83,Furniture,Online,Not Returned,Low
686580,Headphones,46,2020-02-07 18:00,32.41,0.12,20.39,Accessories,Online,Not Returned,High
385977,Notebook,31,2020-02-07 19:00,70.67,0.08,24.65,Stationery,Online,Not Returned,High
235230,Backpack,1,2020-02-07 20:00,41.4,0.5,20.78,Accessories,Online,Not Returned,Medium
818040,Desk Lamp,6,2020-02-07 21:00,26.22,0.08,7.89,Stationery,In-store,Not Returned,Medium
906741,Desk Lamp,37,2020-02-07 22:00,2.68,0.47,24.51,Stationery,In-store,Returned,Medium
369114,Wireless Mouse,2,2020-02-07 23:00,62.76,0.17,23.75,Apparel,In-store,Not Returned,Low
434618,USB Cable,43,2020-02-08 00:00,72.07,0.18,15.23,Stationery,Online,Returned,Medium
932972,Wall Clock,37,2020-02-08 01:00,91.9,0.37,14.25,Accessories,In-store,Not Returned,Low
251456,Wireless Mouse,48,2020-02-08 02:00,20.27,0.19,23.45,Furniture,Online,Not Returned,High
904449,Notebook,23,2020-02-08 03:00,78.84,0.3,12.73,Furniture,Online,Not Returned,High
962312,USB Cable,44,2020-02-08 04:00,4.85,0.06,8.65,Furniture,Online,Not Returned,High
205570,Headphones,44,2020-02-08 05:00,21.08,0.48,25.53,Furniture,Online,Not Returned,High
370846,Office Chair,49,2020-02-08 06:00,92.82,0.28,21.93,Stationery,In-store,Not Returned,High
100404,White Mug,27,2020-02-08 07:00,27.57,0.19,9.82,Accessories,Online,Returned,Low
803286,T-shirt,27,2020-02-08 08:00,58.81,0.15,21.53,Apparel,Online,Not Returned,High
374907,T-shirt,37,2020-02-08 09:00,58.77,0.16,11.88,Electronics,Online,Not Returned,High
773744,White Mug,24,2020-02-08 10:00,34.58,0.33,16.03,Accessories,In-store,Not Returned,Low
815460,Wireless Mouse,27,2020-02-08 11:00,51.32,0.29,28.65,Apparel,Online,Not Returned,High
984574,Blue Pen,31,2020-02-08 12:00,33.51,0.14,25.08,Electronics,Online,Not Returned,High
765220,USB Cable,30,2020-02-08 13:00,58.62,0.03,6.41,Electronics,In-store,Not Returned,Medium
335365,USB Cable,-20,2020-02-08 14:00,19.75,0.28,,Furniture,Online,Not Returned,Low
442786,Wireless Mouse,1,2020-02-08 15:00,96.58,0.08,5.69,Stationery,In-store,Not Returned,High
150612,White Mug,40,2020-02-08 16:00,53.02,0.49,14.48,Apparel,Online,Not Returned,Low
910006,Wall Clock,32,2020-02-08 17:00,42.93,0.37,20.16,Furniture,In-store,Not Returned,Low
909956,Desk Lamp,15,2020-02-08 18:00,17.15,0.03,22.65,Stationery,In-store,Not Returned,High
300244,Wireless Mouse,24,2020-02-08 19:00,57.29,0.34,6.8,Stationery,In-store,Not Returned,Medium
897348,Wall Clock,11,2020-02-08 20:00,13.84,0.48,23.11,Accessories,Online,Not Returned,Low
104809,Blue Pen,43,2020-02-08 21:00,70.43,0.29,14.27,Furniture,In-store,Not Returned,Low
263273,White Mug,38,2020-02-08 22:00,63.8,0.25,16.93,Accessories,In-store,Not Returned,Low
808690,Headphones,48,2020-02-08 23:00,55.24,0.49,23.04,Furniture,Online,Not Returned,High
244528,White Mug,30,2020-02-09 00:00,40.43,0.15,27.82,Apparel,In-store,Not Returned,Low
606964,Headphones,18,2020-02-09 01:00,46.47,0.32,25.37,Accessories,Online,Not Returned,High
549613,White Mug,47,2020-02-09 02:00,53.22,0.39,16.02,Stationery,In-store,Not Returned,Low
138765,Office Chair,33,2020-02-09 03:00,22.95,0.37,20.34,Stationery,In-store,Not Returned,Low
931538,Desk Lamp,42,2020-02-09 04:00,31.6,0.14,8.86,Electronics,Online,Not Returned,Medium
416076,Wireless Mouse,3,2020-02-09 05:00,85.31,0.23,20.19,Stationery,Online,Not Returned,Low
943523,Headphones,2,2020-02-09 06:00,7.69,0.09,29.35,Accessories,Online,Not Returned,High
646237,White Mug,11,2020-02-09 07:00,79.8,0.04,11.81,Electronics,Online,Not Returned,Medium
301152,Backpack,21,2020-02-09 08:00,38.27,0.13,23.58,Apparel,Online,Returned,High
399888,Wireless Mouse,23,2020-02-09 09:00,40.58,0.07,25.86,Electronics,Online,Not Returned,Medium
800903,Blue Pen,1,2020-02-09 10:00,38.1,0.08,22.71,Accessories,In-store,Returned,Medium
994751,White Mug,7,2020-02-09 11:00,60.41,0.23,17.1,Apparel,Online,Not Returned,Medium
192193,White Mug,47,2020-02-09 12:00,46.37,0.2,9.01,Stationery,Online,Not Returned,Low
136187,T-shirt,-37,2020-02-09 13:00,44.04,0.36,,Furniture,Online,Not Returned,High
605950,Notebook,17,2020-02-09 14:00,12.91,0.4,18.43,Accessories,In-store,Not Returned,Medium
238311,USB Cable,35,2020-02-09 15:00,94.29,0.03,13.13,Electronics,Online,Not Returned,High
900921,Wireless Mouse,16,2020-02-09 16:00,78.8,0.19,21.81,Electronics,In-store,Not Returned,Medium
608153,Wall Clock,3,2020-02-09 17:00,48.6,0.08,14.11,Electronics,In-store,Not Returned,Low
289089,Backpack,12,2020-02-09 18:00,16.72,0.33,16.12,Apparel,In-store,Not Returned,Low
686165,White Mug,22,2020-02-09 19:00,93.52,0.31,27.82,Stationery,Online,Not Returned,High
536341,Headphones,20,2020-02-09 20:00,18.61,0.08,22.24,Furniture,In-store,Not Returned,High
412066,Backpack,33,2020-02-09 21:00,16.27,0.44,9.75,Furniture,In-store,Not Returned,Low
718362,Desk Lamp,7,2020-02-09 22:00,19.2,0.13,6.89,Apparel,In-store,Not Returned,High
787409,Backpack,37,2020-02-09 23:00,10.1,0.0,16.45,Accessories,In-store,Not Returned,Medium
661419,USB Cable,7,2020-02-10 00:00,17.34,0.36,12.76,Apparel,Online,Not Returned,Medium
740053,White Mug,23,2020-02-10 01:00,64.68,0.38,19.85,Apparel,Online,Not Returned,Low
960395,Blue Pen,1,2020-02-10 02:00,21.81,0.37,15.86,Accessories,In-store,Not Returned,Low
731172,T-shirt,41,2020-02-10 03:00,45.06,0.44,25.09,Furniture,Online,Not Returned,Low
225917,White Mug,12,2020-02-10 04:00,55.22,0.12,22.76,Apparel,Online,Not Returned,Medium
910717,Desk Lamp,33,2020-02-10 05:00,68.92,0.4,5.02,Accessories,Online,Returned,Low
399770,Wall Clock,15,2020-02-10 06:00,18.2,0.15,28.26,Furniture,Online,Returned,Medium
798168,Notebook,27,2020-02-10 07:00,52.3,0.3,23.74,Stationery,Online,Not Returned,High
581680,Blue Pen,16,2020-02-10 08:00,96.46,0.04,6.77,Accessories,In-store,Not Returned,Medium
381342,Headphones,15,2020-02-10 09:00,45.28,0.17,26.03,Stationery,Online,Not Returned,High
639542,Blue Pen,49,2020-02-10 10:00,62.56,0.44,29.99,Electronics,Online,Not Returned,Low
144238,Office Chair,24,2020-02-10 11:00,98.49,0.15,13.76,Accessories,Online,Not Returned,Low
101252,Wireless Mouse,45,2020-02-10 12:00,45.16,0.36,6.78,Stationery,In-store,Not Returned,Medium
926196,Backpack,44,2020-02-10 13:00,47.43,0.48,18.41,Electronics,In-store,Not Returned,Medium
964141,Notebook,33,2020-02-10 14:00,74.37,0.26,10.3,Stationery,In-store,Not Returned,Low
585450,Desk Lamp,14,2020-02-10 15:00,36.7,0.09,8.22,Stationery,Online,Not Returned,Low
415826,Notebook,11,2020-02-10 16:00,18.36,0.08,15.31,Accessories,In-store,Not Returned,Medium
421638,Office Chair,26,2020-02-10 17:00,11.48,0.04,13.9,Electronics,In-store,Not Returned,Low
705605,White Mug,12,2020-02-10 18:00,74.7,0.08,27.85,Accessories,In-store,Not Returned,Low
427359,Backpack,34,2020-02-10 19:00,49.81,0.34,14.26,Stationery,In-store,Not Returned,Medium
702875,Wireless Mouse,37,2020-02-10 20:00,32.77,0.46,13.38,Stationery,In-store,Not Returned,High
106949,Headphones,37,2020-02-10 21:00,12.87,0.34,16.49,Furniture,In-store,Not Returned,Medium
863185,Blue Pen,41,2020-02-10 22:00,93.94,0.08,18.49,Electronics,In-store,Not Returned,Medium
417537,Headphones,27,2020-02-10 23:00,12.61,0.18,21.91,Electronics,Online,Returned,Medium
828913,White Mug,16,2020-02-11 00:00,98.74,0.27,18.71,Stationery,In-store,Not Returned,High
762301,Headphones,-47,2020-02-11 01:00,-61.53,1.1007868099387903,,Stationery,Online,Not Returned,Medium
650222,USB Cable,12,2020-02-11 02:00,82.8,0.18,27.26,Accessories,Online,Returned,Low
880722,Backpack,47,2020-02-11 03:00,39.84,0.12,16.83,Furniture,In-store,Not Returned,Low
555102,Blue Pen,29,2020-02-11 04:00,21.12,0.11,14.0,Stationery,Online,Not Returned,Medium
437889,Wall Clock,2,2020-02-11 05:00,17.66,0.39,11.22,Accessories,In-store,Not Returned,Medium
576467,Blue Pen,6,2020-02-11 06:00,79.52,0.21,5.99,Furniture,Online,Returned,Medium
456600,Notebook,10,2020-02-11 07:00,35.35,0.07,27.69,Accessories,In-store,Not Returned,High
415557,Wall Clock,33,2020-02-11 08:00,31.43,0.41,14.87,Accessories,In-store,Not Returned,Medium
983671,T-shirt,2,2020-02-11 09:00,54.94,0.01,9.31,Accessories,In-store,Not Returned,Low
404462,Backpack,18,2020-02-11 10:00,57.89,0.18,9.79,Electronics,In-store,Not Returned,Low
350875,Notebook,49,2020-02-11 11:00,24.04,0.11,16.52,Stationery,In-store,Not Returned,Low
563389,Wireless Mouse,16,2020-02-11 12:00,88.68,0.35,25.85,Apparel,In-store,Not Returned,Low
170390,Wall Clock,6,2020-02-11 13:00,93.45,0.4,26.35,Accessories,Online,Returned,High
807689,USB Cable,-38,2020-02-11 14:00,-24.14,1.5009899123536776,,Furniture,In-store,Not Returned,Low
353490,Backpack,14,2020-02-11 15:00,65.72,0.46,17.99,Electronics,In-store,Not Returned,High
667376,Wall Clock,3,2020-02-11 16:00,40.22,0.23,28.16,Accessories,Online,Not Returned,High
347940,Blue Pen,41,2020-02-11 17:00,20.0,0.07,13.48,Apparel,Online,Not Returned,Low
465340,T-shirt,8,2020-02-11 18:00,41.83,0.11,6.17,Stationery,Online,Not Returned,High
533027,White Mug,-28,2020-02-11 19:00,-73.12,1.5286765290970958,,Stationery,In-store,Not Returned,Medium
608041,USB Cable,46,2020-02-11 20:00,52.57,0.32,18.19,Stationery,In-store,Not Returned,Medium
417623,Backpack,-27,2020-02-11 21:00,43.13,0.35,,Apparel,Online,Not Returned,Medium
316464,White Mug,19,2020-02-11 22:00,40.96,0.2,13.82,Stationery,In-store,Not Returned,Medium
842729,Office Chair,47,2020-02-11 23:00,44.85,0.14,21.05,Furniture,Online,Not Returned,Medium
610736,Wireless Mouse,43,2020-02-12 00:00,35.14,0.11,11.4,Accessories,In-store,Not Returned,Low
906395,Notebook,2,2020-02-12 01:00,6.87,0.12,22.51,Stationery,Online,Not Returned,High
417267,Backpack,37,2020-02-12 02:00,87.77,0.44,24.29,Electronics,In-store,Not Returned,High
750199,Blue Pen,37,2020-02-12 03:00,95.64,0.49,11.42,Apparel,In-store,Not Returned,High
988900,USB Cable,3,2020-02-12 04:00,72.47,0.42,29.8,Accessories,In-store,Not Returned,Medium
323777,Notebook,44,2020-02-12 05:00,22.73,0.44,12.39,Stationery,In-store,Returned,Medium
959909,Headphones,34,2020-02-12 06:00,67.17,0.1,24.17,Apparel,Online,Not Returned,Medium
900820,USB Cable,34,2020-02-12 07:00,87.26,0.04,28.17,Furniture,Online,Returned,High
105569,White Mug,44,2020-02-12 08:00,70.44,0.12,21.54,Apparel,In-store,Not Returned,Low
694124,Office Chair,37,2020-02-12 09:00,76.15,0.22,27.21,Electronics,In-store,Not Returned,Low
728861,Wall Clock,48,2020-02-12 10:00,31.87,0.48,9.95,Electronics,In-store,Not Returned,High
529802,Office Chair,44,2020-02-12 11:00,79.08,0.17,16.55,Apparel,Online,Not Returned,High
358090,Notebook,33,2020-02-12 12:00,18.75,0.47,7.27,Stationery,In-store,Returned,Medium
767375,T-shirt,22,2020-02-12 13:00,70.56,0.02,12.03,Stationery,Online,Not Returned,High
145002,Blue Pen,47,2020-02-12 14:00,23.62,0.25,27.83,Accessories,In-store,Not Returned,Low
871954,Wall Clock,1,2020-02-12 15:00,61.4,0.4,9.39,Stationery,In-store,Not Returned,Low
761614,USB Cable,45,2020-02-12 16:00,40.09,0.33,23.11,Furniture,In-store,Not Returned,Medium
779574,White Mug,48,2020-02-12 17:00,59.47,0.17,26.68,Electronics,Online,Not Returned,Low
598870,USB Cable,19,2020-02-12 18:00,28.23,0.05,27.37,Apparel,In-store,Not Returned,High
311791,Backpack,42,2020-02-12 19:00,96.73,0.35,11.21,Apparel,In-store,Not Returned,High
302846,USB Cable,37,2020-02-12 20:00,83.19,0.18,6.36,Furniture,Online,Not Returned,Low
761450,Office Chair,15,2020-02-12 21:00,74.6,0.25,19.19,Electronics,Online,Not Returned,Low
766997,Office Chair,-44,2020-02-12 22:00,-56.43,1.925327224727465,,Apparel,Online,Not Returned,Medium
777775,Wall Clock,16,2020-02-12 23:00,81.31,0.13,14.91,Furniture,Online,Not Returned,Medium
124071,Desk Lamp,35,2020-02-13 00:00,70.62,0.08,6.41,Furniture,In-store,Not Returned,Low
682531,Desk Lamp,39,2020-02-13 01:00,33.59,0.27,15.06,Stationery,In-store,Not Returned,Medium
994647,Desk Lamp,11,2020-02-13 02:00,17.17,0.01,18.19,Electronics,In-store,Not Returned,High
272312,Wireless Mouse,7,2020-02-13 03:00,45.92,0.0,25.71,Apparel,Online,Not Returned,Low
357218,T-shirt,30,2020-02-13 04:00,67.03,0.1,10.31,Stationery,In-store,Not Returned,High
314879,Blue Pen,46,2020-02-13 05:00,42.27,0.26,20.21,Furniture,In-store,Not Returned,Medium
463714,Blue Pen,5,2020-02-13 06:00,79.51,0.39,28.21,Apparel,Online,Not Returned,High
526650,Wireless Mouse,-24,2020-02-13 07:00,-29.57,1.0492347440188017,,Apparel,Online,Not Returned,Low
431868,Desk Lamp,45,2020-02-13 08:00,39.35,0.05,18.57,Apparel,In-store,Not Returned,High
962129,T-shirt,1,2020-02-13 09:00,92.98,0.44,8.51,Stationery,In-store,Not Returned,Low
653020,Wireless Mouse,19,2020-02-13 10:00,25.36,0.43,11.04,Furniture,Online,Returned,Low
745753,T-shirt,49,2020-02-13 11:00,17.47,0.34,11.82,Stationery,In-store,Not Returned,Medium
517170,Wall Clock,47,2020-02-13 12:00,17.34,0.42,8.75,Furniture,Online,Not Returned,Medium
157108,T-shirt,23,2020-02-13 13:00,19.72,0.18,7.08,Stationery,Online,Not Returned,High
580721,Wireless Mouse,38,2020-02-13 14:00,4.47,0.05,5.88,Furniture,In-store,Not Returned,Low
211195,USB Cable,16,2020-02-13 15:00,43.44,0.08,11.84,Accessories,Online,Returned,Low
989513,T-shirt,14,2020-02-13 16:00,54.83,0.24,13.43,Accessories,Online,Not Returned,High
136668,Office Chair,4,2020-02-13 17:00,70.0,0.09,26.57,Electronics,Online,Not Returned,Medium
385205,Headphones,6,2020-02-13 18:00,6.97,0.02,7.37,Apparel,In-store,Not Returned,High
441396,Wireless Mouse,4,2020-02-13 19:00,54.24,0.12,14.63,Electronics,Online,Not Returned,High
664037,Notebook,5,2020-02-13 20:00,79.17,0.42,10.15,Electronics,In-store,Not Returned,Medium
230560,USB Cable,35,2020-02-13 21:00,57.87,0.17,21.64,Electronics,Online,Not Returned,Low
466824,T-shirt,26,2020-02-13 22:00,26.18,0.42,15.04,Electronics,Online,Not Returned,Medium
247979,Blue Pen,9,2020-02-13 23:00,65.56,0.37,5.66,Apparel,Online,Not Returned,Low
249849,Notebook,49,2020-02-14 00:00,36.49,0.33,19.47,Accessories,Online,Not Returned,Medium
848589,USB Cable,5,2020-02-14 01:00,61.36,0.08,7.5,Accessories,Online,Not Returned,Low
151745,White Mug,25,2020-02-14 02:00,95.9,0.18,28.97,Accessories,In-store,Not Returned,Low
470608,Office Chair,45,2020-02-14 03:00,26.8,0.02,5.11,Stationery,In-store,Not Returned,Low
191865,Wall Clock,18,2020-02-14 04:00,69.34,0.03,23.97,Furniture,Online,Not Returned,Low
998860,Notebook,38,2020-02-14 05:00,56.01,0.4,26.99,Electronics,In-store,Not Returned,Low
312890,Backpack,30,2020-02-14 06:00,39.7,0.0,24.98,Stationery,In-store,Not Returned,Medium
123624,T-shirt,32,2020-02-14 07:00,1.29,0.31,17.19,Apparel,In-store,Not Returned,Low
123321,USB Cable,35,2020-02-14 08:00,89.65,0.18,13.22,Furniture,Online,Not Returned,High
503704,Backpack,20,2020-02-14 09:00,84.72,0.39,26.14,Furniture,In-store,Not Returned,High
909006,Headphones,31,2020-02-14 10:00,94.23,0.27,7.36,Accessories,In-store,Not Returned,Medium
274293,T-shirt,20,2020-02-14 11:00,65.34,0.17,26.85,Furniture,Online,Not Returned,High
883415,Headphones,27,2020-02-14 12:00,53.67,0.24,12.55,Apparel,In-store,Not Returned,Low
286717,Backpack,17,2020-02-14 13:00,16.1,0.02,7.83,Apparel,In-store,Not Returned,Medium
480975,Wall Clock,15,2020-02-14 14:00,46.72,0.16,17.15,Apparel,Online,Not Returned,High
283868,Notebook,12,2020-02-14 15:00,42.33,0.03,5.91,Apparel,Online,Not Returned,Medium
759792,Desk Lamp,11,2020-02-14 16:00,25.91,0.18,18.92,Stationery,Online,Not Returned,Medium
195257,USB Cable,42,2020-02-14 17:00,82.93,0.01,25.01,Apparel,In-store,Not Returned,High
688579,Notebook,8,2020-02-14 18:00,66.86,0.35,24.49,Furniture,Online,Not Returned,Low
310176,Headphones,3,2020-02-14 19:00,73.23,0.11,16.69,Accessories,In-store,Returned,Low
290471,Wireless Mouse,33,2020-02-14 20:00,70.2,0.35,22.02,Accessories,In-store,Not Returned,Medium
572930,White Mug,25,2020-02-14 21:00,11.2,0.49,12.39,Accessories,Online,Returned,High
936860,Wall Clock,38,2020-02-14 22:00,75.32,0.26,12.1,Electronics,In-store,Not Returned,Medium
843091,Desk Lamp,41,2020-02-14 23:00,84.85,0.41,28.61,Electronics,Online,Not Returned,Low
618862,T-shirt,17,2020-02-15 00:00,47.26,0.32,28.2,Apparel,In-store,Returned,Low
575774,Blue Pen,32,2020-02-15 01:00,82.83,0.38,22.84,Electronics,Online,Not Returned,Low
735605,White Mug,49,2020-02-15 02:00,40.4,0.23,24.48,Furniture,In-store,Not Returned,High
239789,Headphones,22,2020-02-15 03:00,74.37,0.29,10.08,Stationery,Online,Not Returned,Medium
489593,Headphones,43,2020-02-15 04:00,68.3,0.23,9.0,Apparel,In-store,Returned,Low
915131,Wireless Mouse,3,2020-02-15 05:00,88.97,0.15,8.56,Stationery,Online,Not Returned,Medium
173686,Desk Lamp,24,2020-02-15 06:00,52.87,0.01,18.98,Accessories,Online,Not Returned,Medium
167661,Office Chair,20,2020-02-15 07:00,18.66,0.27,25.07,Electronics,In-store,Not Returned,High
668535,Blue Pen,15,2020-02-15 08:00,29.32,0.35,29.41,Furniture,Online,Not Returned,Medium
345121,USB Cable,45,2020-02-15 09:00,47.35,0.27,23.0,Accessories,In-store,Returned,Medium
772108,USB Cable,45,2020-02-15 10:00,47.04,0.35,17.76,Furniture,Online,Not Returned,High
467257,Notebook,41,2020-02-15 11:00,65.51,0.26,8.22,Stationery,Online,Not Returned,Medium
366765,Office Chair,6,2020-02-15 12:00,3.44,0.35,17.05,Furniture,Online,Not Returned,High
246106,Blue Pen,49,2020-02-15 13:00,48.85,0.26,19.05,Apparel,Online,Not Returned,Low
358930,Notebook,42,2020-02-15 14:00,58.29,0.19,18.43,Electronics,Online,Not Returned,Medium
760482,Wireless Mouse,2,2020-02-15 15:00,64.44,0.04,24.36,Furniture,Online,Returned,High
904462,Wall Clock,33,2020-02-15 16:00,73.38,0.24,12.47,Accessories,Online,Not Returned,High
969270,Headphones,-38,2020-02-15 17:00,68.7,0.37,,Stationery,Online,Not Returned,Medium
971149,Blue Pen,8,2020-02-15 18:00,75.24,0.31,15.41,Apparel,Online,Not Returned,Medium
548874,Backpack,18,2020-02-15 19:00,85.53,0.2,17.87,Apparel,In-store,Not Returned,Medium
662926,Office Chair,9,2020-02-15 20:00,9.41,0.14,15.56,Stationery,In-store,Not Returned,Low
953499,White Mug,47,2020-02-15 21:00,44.71,0.2,11.84,Electronics,In-store,Not Returned,Medium
218033,Wireless Mouse,10,2020-02-15 22:00,20.11,0.07,7.12,Furniture,Online,Not Returned,Low
730265,T-shirt,27,2020-02-15 23:00,1.71,0.27,12.27,Accessories,In-store,Not Returned,Low
713157,Wall Clock,38,2020-02-16 00:00,36.51,0.35,6.53,Accessories,Online,Not Returned,High
729474,USB Cable,40,2020-02-16 01:00,99.68,0.04,26.67,Accessories,Online,Not Returned,High
921106,Wall Clock,10,2020-02-16 02:00,27.4,0.29,28.23,Accessories,Online,Not Returned,Low
266926,Desk Lamp,19,2020-02-16 03:00,46.99,0.15,15.91,Furniture,In-store,Returned,Medium
670559,Wireless Mouse,43,2020-02-16 04:00,90.28,0.47,8.36,Apparel,In-store,Not Returned,High
960120,Wireless Mouse,28,2020-02-16 05:00,18.82,0.01,8.7,Accessories,In-store,Not Returned,Medium
531734,Headphones,13,2020-02-16 06:00,15.8,0.29,15.39,Stationery,In-store,Returned,Medium
473220,Office Chair,25,2020-02-16 07:00,34.08,0.34,24.86,Furniture,Online,Not Returned,Medium
765627,T-shirt,25,2020-02-16 08:00,65.26,0.34,16.33,Apparel,In-store,Not Returned,Low
321897,Office Chair,10,2020-02-16 09:00,60.71,0.41,19.31,Furniture,In-store,Not Returned,High
101062,White Mug,-32,2020-02-16 10:00,-29.62,0.26,,Electronics,Online,Returned,Low
347736,Office Chair,47,2020-02-16 11:00,90.56,0.15,11.46,Apparel,In-store,Not Returned,Medium
674736,Backpack,5,2020-02-16 12:00,10.23,0.45,29.37,Accessories,Online,Not Returned,Low
195462,Blue Pen,14,2020-02-16 13:00,87.88,0.12,10.79,Stationery,Online,Not Returned,Low
499445,Headphones,-23,2020-02-16 14:00,-18.16,1.266263632966273,,Stationery,Online,Not Returned,Medium
550009,Headphones,28,2020-02-16 15:00,53.16,0.5,9.75,Electronics,Online,Not Returned,Medium
870173,Blue Pen,9,2020-02-16 16:00,61.46,0.31,24.89,Stationery,Online,Not Returned,High
672203,Backpack,-6,2020-02-16 17:00,93.62,0.07,,Electronics,Online,Not Returned,High
366776,Wireless Mouse,-7,2020-02-16 18:00,-29.52,0.37,,Apparel,In-store,Not Returned,High
728880,Wireless Mouse,44,2020-02-16 19:00,91.8,0.19,17.52,Apparel,In-store,Not Returned,Low
758956,USB Cable,13,2020-02-16 20:00,96.83,0.26,14.72,Furniture,Online,Not Returned,Medium
471923,Desk Lamp,7,2020-02-16 21:00,95.99,0.26,27.53,Stationery,Online,Returned,High
499384,USB Cable,4,2020-02-16 22:00,51.89,0.47,21.89,Apparel,In-store,Not Returned,Medium
732387,Backpack,21,2020-02-16 23:00,16.78,0.17,15.66,Apparel,In-store,Not Returned,High
631849,Wall Clock,17,2020-02-17 00:00,53.09,0.06,19.14,Stationery,Online,Not Returned,High
567010,Office Chair,2,2020-02-17 01:00,81.54,0.32,21.35,Apparel,In-store,Returned,High
706440,Desk Lamp,33,2020-02-17 02:00,36.75,0.01,17.07,Stationery,In-store,Not Returned,Medium
749324,White Mug,43,2020-02-17 03:00,77.31,0.28,16.94,Accessories,Online,Not Returned,Low
486193,USB Cable,34,2020-02-17 04:00,58.65,0.12,11.92,Electronics,Online,Not Returned,High
126734,Wireless Mouse,43,2020-02-17 05:00,54.23,0.23,24.4,Furniture,Online,Returned,Low
126069,White Mug,8,2020-02-17 06:00,39.65,0.16,19.38,Accessories,In-store,Not Returned,Low
835265,Desk Lamp,45,2020-02-17 07:00,68.7,0.28,20.06,Stationery,Online,Not Returned,High
637198,Wireless Mouse,38,2020-02-17 08:00,37.63,0.13,19.18,Accessories,Online,Not Returned,Medium
435623,Notebook,28,2020-02-17 09:00,45.69,0.08,6.28,Apparel,In-store,Not Returned,Low
570951,White Mug,9,2020-02-17 10:00,12.24,0.16,10.04,Furniture,Online,Not Returned,Low
181264,Blue Pen,1,2020-02-17 11:00,76.8,0.26,22.78,Stationery,Online,Not Returned,Medium
123275,USB Cable,30,2020-02-17 12:00,61.08,0.21,29.61,Electronics,In-store,Not Returned,High
696562,Notebook,45,2020-02-17 13:00,73.09,0.49,8.98,Electronics,In-store,Not Returned,Low
574665,Notebook,32,2020-02-17 14:00,96.03,0.2,11.28,Apparel,In-store,Not Returned,Low
462920,Blue Pen,31,2020-02-17 15:00,26.28,0.48,22.92,Accessories,In-store,Not Returned,Low
291076,Wireless Mouse,4,2020-02-17 16:00,71.94,0.01,21.52,Stationery,In-store,Not Returned,Medium
294053,Headphones,36,2020-02-17 17:00,33.63,0.32,14.34,Electronics,Online,Not Returned,High
809913,Desk Lamp,15,2020-02-17 18:00,21.0,0.16,27.17,Apparel,In-store,Not Returned,Medium
672735,Headphones,14,2020-02-17 19:00,54.25,0.19,15.37,Apparel,In-store,Not Returned,High
699991,Notebook,49,2020-02-17 20:00,96.26,0.2,18.24,Electronics,Online,Not Returned,Low
962522,USB Cable,18,2020-02-17 21:00,95.47,0.25,17.15,Apparel,Online,Not Returned,High
903692,Desk Lamp,11,2020-02-17 22:00,90.92,0.36,20.12,Apparel,Online,Returned,High
212581,Notebook,13,2020-02-17 23:00,50.04,0.26,23.75,Accessories,In-store,Returned,Low
365956,T-shirt,16,2020-02-18 00:00,64.93,0.09,23.95,Furniture,Online,Not Returned,Low
521240,Wireless Mouse,15,2020-02-18 01:00,7.75,0.34,11.03,Electronics,In-store,Not Returned,High
814016,T-shirt,11,2020-02-18 02:00,17.31,0.21,17.51,Apparel,Online,Not Returned,High
216421,T-shirt,11,2020-02-18 03:00,27.7,0.19,16.27,Apparel,In-store,Not Returned,High
625893,Headphones,27,2020-02-18 04:00,25.64,0.02,11.07,Accessories,In-store,Not Returned,Low
564374,Wireless Mouse,4,2020-02-18 05:00,89.23,0.05,27.83,Electronics,Online,Not Returned,High
172303,White Mug,26,2020-02-18 06:00,51.4,0.14,10.37,Accessories,In-store,Not Returned,Medium
258211,Backpack,26,2020-02-18 07:00,43.41,0.13,11.79,Electronics,In-store,Not Returned,High
287210,White Mug,15,2020-02-18 08:00,9.87,0.08,9.4,Electronics,Online,Not Returned,High
886237,Office Chair,42,2020-02-18 09:00,78.06,0.44,5.9,Apparel,Online,Not Returned,High
