InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
225341,SKU_1482,Notebook,14.00,2020-03-15 23:00,98.71,33849.00,United States,0.35,Bank Transfer,8.71,Stationery,Online,Not Returned,DHL,London,Low
915862,SKU_1996,Notebook,33.00,2020-03-16 00:00,69.20,49854.00,France,0.08,Bank Transfer,16.01,Apparel,In-store,Not Returned,Royal Mail,Paris,Low
830892,SKU_1304,Desk Lamp,21.00,2020-03-16 01:00,40.02,14060.00,Italy,0.48,Credit Card,27.46,Furniture,Online,Not Returned,Royal Mail,Paris,Medium
652076,SKU_1922,Office Chair,42.00,2020-03-16 02:00,67.06,36302.00,Spain,0.49,paypall,8.67,Electronics,Online,Not Returned,DHL,London,Low
850865,SKU_1283,White Mug,21.00,2020-03-16 03:00,6.14,24277.00,United Kingdom,0.15,Credit Card,20.66,Furniture,In-store,Not Returned,FedEx,Amsterdam,Medium
541759,SKU_1471,White Mug,2.00,2020-03-16 04:00,19.49,99080.00,Sweden,0.21,Bank Transfer,5.84,Accessories,Online,Not Returned,Royal Mail,Rome,Medium
955778,SKU_1992,White Mug,19.00,2020-03-16 05:00,80.39,57131.00,Norway,0.43,Credit Card,8.92,Apparel,Online,Not Returned,FedEx,Paris,High
982554,SKU_1992,T-shirt,20.00,2020-03-16 06:00,96.59,85040.00,France,0.02,paypall,9.42,Accessories,In-store,Not Returned,UPS,Paris,Medium
664262,SKU_1189,Headphones,3.00,2020-03-16 07:00,63.14,22970.00,Belgium,0.10,Bank Transfer,23.76,Stationery,Online,Not Returned,FedEx,Rome,High
993741,SKU_1527,USB Cable,35.00,2020-03-16 08:00,22.05,30612.00,Sweden,0.42,Credit Card,17.78,Apparel,Online,Not Returned,FedEx,Amsterdam,Medium
640659,SKU_1511,Blue Pen,19.00,2020-03-16 09:00,93.56,13539.00,Australia,0.32,Bank Transfer,28.80,Apparel,In-store,Returned,DHL,London,Medium
931516,SKU_1342,Notebook,15.00,2020-03-16 10:00,12.30,59249.00,France,0.31,Bank Transfer,13.96,Apparel,Online,Not Returned,UPS,Rome,Medium
424060,SKU_1685,Blue Pen,29.00,2020-03-16 13:00,97.09,93258.00,Spain,0.44,Bank Transfer,15.32,Stationery,Online,Not Returned,DHL,Rome,Low
698260,SKU_1679,Blue Pen,17.00,2020-03-16 14:00,36.87,23422.00,Australia,0.09,paypall,17.18,Stationery,In-store,Not Returned,UPS,Berlin,Low
293259,SKU_1850,USB Cable,11.00,2020-03-16 15:00,47.16,39373.00,Belgium,0.22,Credit Card,15.25,Stationery,Online,Not Returned,DHL,London,High
375128,SKU_1033,Wireless Mouse,2.00,2020-03-16 16:00,85.99,98522.00,Australia,0.10,Credit Card,17.14,Electronics,In-store,Not Returned,DHL,Amsterdam,High
919471,SKU_1470,T-shirt,10.00,2020-03-16 17:00,32.15,35616.00,Netherlands,0.16,Bank Transfer,17.09,Electronics,In-store,Not Returned,UPS,Berlin,High
709719,SKU_1393,Headphones,47.00,2020-03-16 18:00,40.96,0.00,Italy,0.44,paypall,23.50,Apparel,In-store,Returned,DHL,,Medium
970123,SKU_1740,USB Cable,22.00,2020-03-16 19:00,54.29,95334.00,Belgium,0.48,paypall,7.91,Electronics,In-store,Not Returned,UPS,Berlin,High
945038,SKU_1494,Backpack,17.00,2020-03-16 20:00,57.18,99601.00,Netherlands,0.28,paypall,18.53,Stationery,Online,Not Returned,Royal Mail,Amsterdam,Medium
503832,SKU_1512,Blue Pen,26.00,2020-03-16 21:00,12.23,91074.00,France,0.18,Credit Card,28.45,Apparel,Online,Not Returned,FedEx,Paris,High
729661,SKU_1114,Desk Lamp,46.00,2020-03-16 23:00,21.45,74752.00,Australia,0.35,Bank Transfer,26.12,Furniture,In-store,Not Returned,FedEx,Berlin,Medium
281144,SKU_1213,T-shirt,3.00,2020-03-17 00:00,97.19,0.00,Germany,0.37,Credit Card,7.35,Electronics,In-store,Not Returned,DHL,,Medium
911006,SKU_1765,Wall Clock,38.00,2020-03-17 01:00,28.23,81716.00,Portugal,0.03,Credit Card,16.47,Electronics,Online,Returned,Royal Mail,Rome,High
350195,SKU_1144,Blue Pen,22.00,2020-03-17 02:00,2.36,24756.00,Spain,0.35,Credit Card,12.54,Stationery,Online,Not Returned,DHL,Berlin,Medium
243748,SKU_1558,Office Chair,20.00,2020-03-17 03:00,11.32,20806.00,United States,0.00,paypall,18.08,Stationery,In-store,Not Returned,Royal Mail,London,Low
504032,SKU_1791,Office Chair,41.00,2020-03-17 04:00,52.31,98204.00,United States,0.18,Credit Card,11.74,Apparel,Online,Not Returned,UPS,Berlin,High
132733,SKU_1177,Wall Clock,35.00,2020-03-17 05:00,65.02,23092.00,France,0.46,paypall,6.73,Furniture,In-store,Not Returned,UPS,Paris,Low
841040,SKU_1724,T-shirt,15.00,2020-03-17 06:00,8.68,68777.00,Spain,0.46,Bank Transfer,16.23,Accessories,In-store,Not Returned,UPS,Paris,Low
626338,SKU_1359,Blue Pen,38.00,2020-03-17 07:00,4.77,54658.00,France,0.26,Credit Card,23.58,Stationery,Online,Not Returned,DHL,London,High
209996,SKU_1284,Notebook,10.00,2020-03-17 08:00,38.64,89806.00,Sweden,0.12,paypall,24.32,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High
658221,SKU_1244,Backpack,33.00,2020-03-17 09:00,44.34,46822.00,Italy,0.27,paypall,5.30,Accessories,In-store,Not Returned,DHL,Paris,Medium
649239,SKU_1764,USB Cable,23.00,2020-03-17 10:00,28.44,42193.00,United Kingdom,0.10,Credit Card,20.26,Electronics,Online,Not Returned,Royal Mail,Berlin,Low
656701,SKU_1205,Backpack,6.00,2020-03-17 11:00,28.98,93717.00,Italy,0.20,paypall,11.51,Accessories,In-store,Not Returned,Royal Mail,London,Medium
265873,SKU_1583,Headphones,31.00,2020-03-17 12:00,64.60,73689.00,Norway,0.39,Credit Card,21.92,Accessories,Online,Not Returned,FedEx,Berlin,Medium
810979,SKU_1733,T-shirt,26.00,2020-03-17 13:00,54.04,34757.00,Germany,0.16,Credit Card,9.37,Stationery,Online,Not Returned,UPS,Rome,High
999005,SKU_1341,White Mug,13.00,2020-03-17 14:00,17.94,75726.00,France,0.39,Bank Transfer,6.95,Apparel,In-store,Not Returned,FedEx,Berlin,Medium
533816,SKU_1726,Wall Clock,16.00,2020-03-17 15:00,38.63,74304.00,Sweden,0.37,Credit Card,23.02,Stationery,Online,Not Returned,UPS,Amsterdam,Low
813135,SKU_1359,Office Chair,36.00,2020-03-17 16:00,14.53,43145.00,Germany,0.46,paypall,15.87,Apparel,In-store,Not Returned,UPS,Paris,High
321888,SKU_1498,Headphones,29.00,2020-03-17 17:00,9.85,96788.00,Germany,0.37,Bank Transfer,27.10,Apparel,In-store,Not Returned,UPS,Rome,Low
885332,SKU_1140,White Mug,23.00,2020-03-17 18:00,70.71,98790.00,Netherlands,0.30,Bank Transfer,8.25,Accessories,Online,Returned,UPS,Amsterdam,Low
845453,SKU_1959,Desk Lamp,12.00,2020-03-17 19:00,88.04,56677.00,France,0.35,paypall,24.71,Electronics,In-store,Not Returned,FedEx,Paris,Medium
867950,SKU_1667,Notebook,36.00,2020-03-17 20:00,38.42,98677.00,France,0.14,paypall,6.86,Accessories,In-store,Not Returned,Royal Mail,Berlin,High
266472,SKU_1221,Blue Pen,45.00,2020-03-17 21:00,11.18,46681.00,Netherlands,0.47,paypall,16.18,Stationery,In-store,Not Returned,Royal Mail,Rome,Medium
497710,SKU_1388,Notebook,25.00,2020-03-17 22:00,20.34,90106.00,France,0.05,Credit Card,29.35,Furniture,In-store,Returned,FedEx,Amsterdam,Medium
311760,SKU_1329,Wireless Mouse,48.00,2020-03-17 23:00,85.74,23513.00,Norway,0.34,paypall,8.40,Accessories,Online,Not Returned,Royal Mail,Paris,Medium
222744,SKU_1742,Headphones,24.00,2020-03-18 00:00,17.67,43407.00,Sweden,0.32,Bank Transfer,16.89,Stationery,In-store,Not Returned,Royal Mail,Berlin,Medium
975863,SKU_1392,Wall Clock,27.00,2020-03-18 01:00,19.38,59402.00,Netherlands,0.40,Credit Card,8.53,Apparel,Online,Not Returned,DHL,Amsterdam,Low
830051,SKU_1653,Office Chair,33.00,2020-03-18 02:00,19.67,32433.00,Australia,0.03,Credit Card,26.71,Apparel,Online,Not Returned,FedEx,Amsterdam,High
601946,SKU_1357,Wall Clock,19.00,2020-03-18 03:00,71.01,0.00,Australia,0.08,Bank Transfer,14.75,Furniture,Online,Not Returned,Royal Mail,Berlin,Low
143001,SKU_1393,USB Cable,1.00,2020-03-18 04:00,7.51,31776.00,Germany,0.26,Bank Transfer,9.80,Furniture,In-store,Not Returned,DHL,Berlin,Low
691652,SKU_1928,Headphones,29.00,2020-03-18 05:00,89.17,78444.00,Portugal,0.37,Credit Card,14.14,Accessories,Online,Not Returned,FedEx,Amsterdam,Low
931460,SKU_1586,White Mug,29.00,2020-03-18 06:00,66.15,53609.00,Netherlands,0.05,Bank Transfer,7.70,Furniture,In-store,Not Returned,Royal Mail,London,High
338506,SKU_1039,Headphones,45.00,2020-03-18 07:00,41.02,30864.00,Belgium,0.15,Credit Card,10.37,Electronics,In-store,Not Returned,DHL,Paris,Low
853019,SKU_1901,White Mug,43.00,2020-03-18 08:00,1.55,70295.00,France,0.49,Bank Transfer,26.75,Electronics,Online,Not Returned,FedEx,Paris,Medium
530789,SKU_1272,Backpack,17.00,2020-03-18 09:00,33.35,99112.00,Norway,0.30,Credit Card,8.21,Furniture,Online,Not Returned,FedEx,Rome,High
756166,SKU_1419,Blue Pen,39.00,2020-03-18 10:00,34.06,26071.00,Italy,0.29,paypall,12.92,Apparel,Online,Not Returned,FedEx,London,Medium
811998,SKU_1069,Blue Pen,30.00,2020-03-18 11:00,27.76,32861.00,Spain,0.04,Credit Card,23.24,Apparel,In-store,Not Returned,UPS,London,High
752589,SKU_1828,White Mug,25.00,2020-03-18 12:00,29.40,21565.00,United Kingdom,0.49,Bank Transfer,8.66,Accessories,Online,Not Returned,Royal Mail,London,High
599722,SKU_1622,Office Chair,33.00,2020-03-18 13:00,23.69,21982.00,Belgium,0.36,paypall,25.97,Electronics,Online,Not Returned,FedEx,London,High
785117,SKU_1457,USB Cable,34.00,2020-03-18 14:00,65.09,32133.00,United States,0.37,Credit Card,21.42,Electronics,In-store,Not Returned,UPS,Berlin,Low
835457,SKU_1233,Office Chair,14.00,2020-03-18 16:00,92.71,12536.00,United States,0.40,Credit Card,8.73,Electronics,Online,Not Returned,Royal Mail,London,High
279352,SKU_1196,Backpack,48.00,2020-03-18 17:00,56.89,47342.00,United Kingdom,0.02,Bank Transfer,22.32,Accessories,In-store,Not Returned,UPS,Amsterdam,Low
910694,SKU_1850,T-shirt,26.00,2020-03-18 18:00,41.61,0.00,United Kingdom,0.35,Credit Card,22.09,Electronics,In-store,Returned,Royal Mail,,Medium
966867,SKU_1710,Office Chair,18.00,2020-03-18 19:00,65.98,56397.00,Netherlands,0.31,Credit Card,10.57,Electronics,Online,Not Returned,UPS,Rome,High
293283,SKU_1508,Backpack,20.00,2020-03-18 20:00,25.46,93860.00,Portugal,0.22,Credit Card,9.83,Accessories,Online,Not Returned,Royal Mail,Rome,High
550195,SKU_1535,White Mug,7.00,2020-03-18 21:00,88.11,96462.00,Germany,0.03,Bank Transfer,29.47,Electronics,In-store,Not Returned,FedEx,Paris,Low
869884,SKU_1818,Wall Clock,30.00,2020-03-18 22:00,62.00,87415.00,Portugal,0.28,Bank Transfer,27.36,Accessories,Online,Not Returned,Royal Mail,Paris,High
531413,SKU_1937,Desk Lamp,49.00,2020-03-18 23:00,49.01,13358.00,Italy,0.08,paypall,21.89,Accessories,In-store,Not Returned,DHL,Rome,Medium
403988,SKU_1146,Office Chair,29.00,2020-03-19 00:00,19.94,56663.00,Portugal,0.24,paypall,5.73,Accessories,Online,Not Returned,DHL,Berlin,High
426898,SKU_1573,Backpack,45.00,2020-03-19 01:00,2.24,80198.00,Australia,0.07,Bank Transfer,17.59,Accessories,Online,Returned,FedEx,London,High
963561,SKU_1458,White Mug,2.00,2020-03-19 02:00,19.10,38143.00,France,0.40,Credit Card,17.33,Electronics,In-store,Not Returned,FedEx,Berlin,Medium
402186,SKU_1066,Wireless Mouse,12.00,2020-03-19 03:00,77.87,78048.00,Sweden,0.12,Bank Transfer,22.92,Accessories,Online,Not Returned,DHL,London,High
161665,SKU_1029,USB Cable,21.00,2020-03-19 04:00,43.73,0.00,United States,0.07,Bank Transfer,14.39,Accessories,Online,Not Returned,DHL,,High
346584,SKU_1106,Wireless Mouse,10.00,2020-03-19 05:00,80.61,82697.00,Italy,0.28,Bank Transfer,13.10,Apparel,Online,Not Returned,Royal Mail,Paris,Low
216953,SKU_1677,Blue Pen,34.00,2020-03-19 06:00,24.76,14342.00,United Kingdom,0.11,paypall,7.36,Apparel,Online,Not Returned,FedEx,Amsterdam,Low
576072,SKU_1389,USB Cable,38.00,2020-03-19 07:00,15.35,58237.00,France,0.49,Credit Card,25.73,Furniture,In-store,Not Returned,FedEx,Amsterdam,Low
782736,SKU_1878,Blue Pen,33.00,2020-03-19 08:00,21.59,15642.00,United States,0.31,Credit Card,6.09,Furniture,Online,Not Returned,DHL,Rome,Low
286626,SKU_1994,White Mug,6.00,2020-03-19 09:00,74.11,42809.00,Sweden,0.36,Bank Transfer,12.99,Accessories,Online,Not Returned,Royal Mail,Berlin,High
245271,SKU_1405,Wireless Mouse,21.00,2020-03-19 10:00,63.05,49411.00,Norway,0.31,paypall,15.76,Apparel,Online,Not Returned,UPS,Rome,Medium
218533,SKU_1120,Office Chair,28.00,2020-03-19 11:00,85.49,85015.00,Italy,0.26,Bank Transfer,13.59,Apparel,Online,Not Returned,FedEx,Berlin,Low
698069,SKU_1010,Backpack,9.00,2020-03-19 12:00,57.22,82686.00,United States,0.13,paypall,20.27,Electronics,Online,Not Returned,DHL,Amsterdam,Medium
565966,SKU_1583,Desk Lamp,21.00,2020-03-19 13:00,62.78,22510.00,Australia,0.17,paypall,25.98,Furniture,Online,Not Returned,DHL,Amsterdam,High
166262,SKU_1346,Backpack,42.00,2020-03-19 14:00,37.02,49836.00,Germany,0.07,paypall,11.17,Apparel,Online,Not Returned,FedEx,Amsterdam,High
933032,SKU_1252,Blue Pen,10.00,2020-03-19 15:00,69.72,56964.00,Australia,0.49,paypall,7.46,Stationery,Online,Not Returned,UPS,Amsterdam,Medium
176898,SKU_1796,USB Cable,29.00,2020-03-19 16:00,37.28,75915.00,Portugal,0.07,Credit Card,17.96,Electronics,Online,Returned,FedEx,Paris,High
555699,SKU_1118,Wireless Mouse,16.00,2020-03-19 17:00,49.91,44307.00,United Kingdom,0.49,Credit Card,13.30,Furniture,Online,Not Returned,Royal Mail,Berlin,High
249369,SKU_1886,Blue Pen,48.00,2020-03-19 18:00,7.68,60163.00,Netherlands,0.14,Bank Transfer,21.37,Furniture,In-store,Not Returned,DHL,Rome,Low
654736,SKU_1519,Backpack,19.00,2020-03-19 19:00,33.05,50544.00,Italy,0.12,paypall,25.90,Apparel,Online,Not Returned,Royal Mail,Rome,High
388316,SKU_1214,Blue Pen,32.00,2020-03-19 20:00,13.63,75102.00,United States,0.50,Credit Card,16.23,Furniture,Online,Not Returned,FedEx,Rome,Low
107657,SKU_1732,Desk Lamp,12.00,2020-03-19 21:00,47.55,30216.00,Norway,0.05,paypall,26.78,Electronics,In-store,Not Returned,Royal Mail,Berlin,Low
577602,SKU_1079,Headphones,24.00,2020-03-19 22:00,7.14,92134.00,France,0.40,paypall,18.63,Electronics,In-store,Not Returned,FedEx,London,High
880977,SKU_1418,Headphones,42.00,2020-03-19 23:00,36.24,10582.00,Portugal,0.32,Credit Card,22.21,Furniture,In-store,Not Returned,UPS,Paris,High
474999,SKU_1583,T-shirt,1.00,2020-03-20 00:00,49.10,89232.00,Netherlands,0.34,Credit Card,5.80,Stationery,In-store,Not Returned,UPS,Berlin,Low
784191,SKU_1711,Backpack,47.00,2020-03-20 01:00,55.60,38653.00,Australia,0.16,Credit Card,10.32,Furniture,Online,Not Returned,UPS,Paris,Medium
107906,SKU_1684,Headphones,43.00,2020-03-20 02:00,24.93,54502.00,Italy,0.30,Credit Card,8.74,Electronics,In-store,Not Returned,DHL,Berlin,High
423557,SKU_1288,Wall Clock,42.00,2020-03-20 03:00,5.73,40063.00,Norway,0.34,Credit Card,14.71,Electronics,Online,Not Returned,Royal Mail,Rome,Medium
395804,SKU_1957,Blue Pen,13.00,2020-03-20 06:00,49.12,28218.00,United States,0.12,Credit Card,6.86,Accessories,Online,Not Returned,DHL,Paris,High
568974,SKU_1932,Blue Pen,29.00,2020-03-20 07:00,36.54,25913.00,Portugal,0.26,paypall,24.32,Accessories,In-store,Returned,FedEx,Rome,Medium
946936,SKU_1656,T-shirt,2.00,2020-03-20 08:00,63.16,29319.00,France,0.07,paypall,26.83,Accessories,In-store,Returned,UPS,London,Medium
815080,SKU_1021,Backpack,40.00,2020-03-20 09:00,31.89,48212.00,Netherlands,0.07,paypall,8.09,Electronics,In-store,Not Returned,Royal Mail,London,Low
727267,SKU_1077,USB Cable,11.00,2020-03-20 10:00,55.76,48541.00,Netherlands,0.20,Credit Card,21.46,Electronics,Online,Not Returned,Royal Mail,Berlin,Medium
134701,SKU_1741,Wireless Mouse,11.00,2020-03-20 11:00,86.34,54099.00,United Kingdom,0.29,Bank Transfer,16.05,Stationery,In-store,Returned,DHL,Berlin,Low
183300,SKU_1671,Office Chair,31.00,2020-03-20 12:00,51.86,48592.00,United States,0.25,Credit Card,11.04,Electronics,In-store,Not Returned,DHL,Amsterdam,Medium
865537,SKU_1013,Blue Pen,5.00,2020-03-20 13:00,56.01,19137.00,Italy,0.20,paypall,6.87,Stationery,In-store,Not Returned,Royal Mail,Berlin,High
773034,SKU_1747,Headphones,49.00,2020-03-20 14:00,64.27,79957.00,Germany,0.20,Credit Card,27.60,Accessories,Online,Not Returned,UPS,Rome,Medium
342615,SKU_1661,Blue Pen,18.00,2020-03-20 16:00,73.77,35451.00,Sweden,0.32,Credit Card,26.66,Stationery,In-store,Not Returned,DHL,Rome,Medium
143642,SKU_1029,USB Cable,30.00,2020-03-20 17:00,76.96,27698.00,Australia,0.33,Credit Card,18.67,Apparel,Online,Not Returned,Royal Mail,Berlin,Low
617083,SKU_1437,Office Chair,21.00,2020-03-20 18:00,16.98,67766.00,United States,0.42,Bank Transfer,8.79,Accessories,In-store,Not Returned,FedEx,London,Low
591036,SKU_1672,Backpack,11.00,2020-03-20 19:00,57.26,74575.00,Belgium,0.25,Bank Transfer,22.37,Accessories,In-store,Not Returned,UPS,Berlin,High
427304,SKU_1772,Office Chair,13.00,2020-03-20 20:00,44.85,42244.00,Australia,0.18,Bank Transfer,29.77,Apparel,In-store,Returned,Royal Mail,Paris,High
904034,SKU_1529,Headphones,13.00,2020-03-20 21:00,12.15,79671.00,France,0.44,paypall,29.18,Electronics,Online,Not Returned,FedEx,Amsterdam,Medium
465464,SKU_1062,Wall Clock,3.00,2020-03-20 22:00,93.71,47624.00,Australia,0.09,Credit Card,22.81,Electronics,In-store,Not Returned,FedEx,Paris,Medium
713089,SKU_1429,USB Cable,16.00,2020-03-20 23:00,31.68,60364.00,Germany,0.32,Bank Transfer,7.25,Furniture,In-store,Not Returned,FedEx,Berlin,Medium
388075,SKU_1134,Office Chair,26.00,2020-03-21 00:00,47.00,57903.00,Netherlands,0.12,Bank Transfer,26.52,Accessories,In-store,Not Returned,Royal Mail,London,High
194377,SKU_1156,T-shirt,14.00,2020-03-21 01:00,37.17,50756.00,Sweden,0.37,Bank Transfer,14.67,Furniture,In-store,Not Returned,FedEx,Rome,Low
915624,SKU_1568,Notebook,4.00,2020-03-21 02:00,73.96,82258.00,France,0.47,paypall,28.23,Apparel,Online,Not Returned,FedEx,Amsterdam,Low
932974,SKU_1942,T-shirt,37.00,2020-03-21 03:00,63.11,45781.00,Germany,0.46,paypall,17.33,Stationery,In-store,Not Returned,FedEx,Berlin,Medium
928952,SKU_1776,Desk Lamp,26.00,2020-03-21 04:00,64.89,90308.00,Germany,0.24,paypall,10.85,Furniture,In-store,Not Returned,DHL,Rome,Medium
426916,SKU_1253,Wall Clock,38.00,2020-03-21 05:00,5.96,32276.00,Portugal,0.50,Credit Card,13.75,Stationery,In-store,Returned,Royal Mail,Rome,High
551978,SKU_1186,T-shirt,15.00,2020-03-21 06:00,97.62,73925.00,Italy,0.02,Bank Transfer,20.76,Stationery,Online,Not Returned,UPS,London,Medium
412250,SKU_1879,T-shirt,21.00,2020-03-21 07:00,28.90,91086.00,United States,0.38,paypall,18.74,Accessories,In-store,Not Returned,FedEx,London,High
705409,SKU_1872,Headphones,41.00,2020-03-21 08:00,15.08,62092.00,Australia,0.31,Credit Card,9.33,Apparel,Online,Not Returned,Royal Mail,Berlin,Medium
125559,SKU_1378,T-shirt,13.00,2020-03-21 09:00,23.39,39382.00,Netherlands,0.49,paypall,14.77,Electronics,In-store,Not Returned,FedEx,Rome,Medium
992027,SKU_1326,T-shirt,13.00,2020-03-21 10:00,71.23,96852.00,United States,0.46,Bank Transfer,23.76,Electronics,In-store,Returned,DHL,Amsterdam,Medium
658030,SKU_1198,Office Chair,38.00,2020-03-21 11:00,97.07,19827.00,Spain,0.11,Credit Card,12.87,Stationery,Online,Not Returned,Royal Mail,Berlin,High
956101,SKU_1880,Office Chair,18.00,2020-03-21 12:00,29.02,66223.00,Australia,0.05,Credit Card,7.35,Stationery,Online,Not Returned,FedEx,London,High
777114,SKU_1170,Desk Lamp,48.00,2020-03-21 13:00,26.90,10774.00,Portugal,0.04,Bank Transfer,23.25,Furniture,Online,Not Returned,DHL,Paris,Medium
235044,SKU_1314,Office Chair,16.00,2020-03-21 14:00,94.75,75604.00,Norway,0.36,paypall,22.78,Accessories,Online,Not Returned,UPS,London,High
957263,SKU_1005,USB Cable,48.00,2020-03-21 15:00,62.06,76196.00,Australia,0.08,paypall,20.94,Stationery,In-store,Not Returned,UPS,London,Low
212217,SKU_1877,Blue Pen,11.00,2020-03-21 16:00,55.20,45434.00,Belgium,0.49,Bank Transfer,28.27,Electronics,In-store,Not Returned,UPS,Paris,Low
666161,SKU_1255,Desk Lamp,26.00,2020-03-21 17:00,28.88,18896.00,Norway,0.41,Bank Transfer,19.99,Stationery,Online,Not Returned,Royal Mail,Paris,Medium
992964,SKU_1878,USB Cable,41.00,2020-03-21 18:00,53.92,29288.00,France,0.11,Credit Card,8.62,Accessories,In-store,Not Returned,Royal Mail,Paris,Low
503119,SKU_1820,Headphones,1.00,2020-03-21 19:00,1.89,26775.00,Australia,0.05,Bank Transfer,20.99,Apparel,Online,Not Returned,UPS,Rome,Medium
758380,SKU_1319,Backpack,32.00,2020-03-21 20:00,56.24,25825.00,France,0.31,Credit Card,22.60,Furniture,Online,Not Returned,UPS,Paris,Low
972388,SKU_1247,Office Chair,1.00,2020-03-21 22:00,60.39,64197.00,Italy,0.44,Bank Transfer,28.45,Furniture,Online,Not Returned,DHL,Amsterdam,Low
186988,SKU_1730,USB Cable,48.00,2020-03-21 23:00,74.54,47482.00,Germany,0.11,Bank Transfer,18.86,Accessories,Online,Not Returned,UPS,London,Medium
669936,SKU_1003,Notebook,7.00,2020-03-22 00:00,18.52,22260.00,Italy,0.32,paypall,27.62,Apparel,Online,Not Returned,UPS,Amsterdam,High
225991,SKU_1512,Backpack,14.00,2020-03-22 01:00,18.64,86699.00,Spain,0.21,paypall,11.56,Accessories,Online,Not Returned,UPS,London,High
502732,SKU_1837,USB Cable,41.00,2020-03-22 02:00,45.09,33217.00,Norway,0.26,paypall,18.42,Apparel,In-store,Not Returned,DHL,Berlin,Low
606079,SKU_1505,Office Chair,18.00,2020-03-22 03:00,73.80,76292.00,Netherlands,0.41,paypall,14.12,Furniture,In-store,Not Returned,UPS,Paris,Low
626684,SKU_1030,Headphones,13.00,2020-03-22 04:00,17.31,68528.00,France,0.21,Bank Transfer,14.83,Stationery,In-store,Not Returned,UPS,Paris,High
184082,SKU_1832,Desk Lamp,25.00,2020-03-22 05:00,42.67,79963.00,Spain,0.46,Bank Transfer,14.89,Furniture,Online,Not Returned,Royal Mail,London,High
228322,SKU_1628,Office Chair,13.00,2020-03-22 06:00,56.37,45143.00,Netherlands,0.49,Bank Transfer,21.93,Electronics,Online,Not Returned,DHL,Rome,High
756951,SKU_1964,USB Cable,36.00,2020-03-22 07:00,54.57,95062.00,Netherlands,0.28,paypall,12.88,Electronics,Online,Not Returned,Royal Mail,Amsterdam,Low
111303,SKU_1274,Backpack,17.00,2020-03-22 08:00,87.55,68592.00,United Kingdom,0.11,Credit Card,12.74,Apparel,In-store,Not Returned,DHL,Rome,Medium
261633,SKU_1708,Backpack,37.00,2020-03-22 09:00,35.81,85429.00,United States,0.19,Credit Card,9.75,Furniture,In-store,Returned,UPS,London,Medium
349690,SKU_1324,Blue Pen,30.00,2020-03-22 11:00,22.72,70322.00,Norway,0.20,Bank Transfer,14.28,Accessories,In-store,Not Returned,UPS,Rome,Medium
884108,SKU_1176,T-shirt,17.00,2020-03-22 12:00,83.69,93368.00,Belgium,0.38,paypall,5.68,Electronics,In-store,Not Returned,DHL,London,Low
199616,SKU_1286,White Mug,10.00,2020-03-22 13:00,50.23,28898.00,Belgium,0.25,Credit Card,8.10,Accessories,Online,Returned,UPS,Berlin,High
186231,SKU_1955,Wall Clock,16.00,2020-03-22 14:00,41.74,15528.00,Norway,0.13,Credit Card,12.40,Furniture,Online,Not Returned,UPS,Berlin,Low
369458,SKU_1747,Desk Lamp,46.00,2020-03-22 15:00,69.70,17224.00,Sweden,0.01,Credit Card,9.61,Accessories,Online,Not Returned,FedEx,Paris,High
119623,SKU_1966,Wall Clock,34.00,2020-03-22 16:00,46.59,44582.00,Sweden,0.17,Credit Card,28.30,Stationery,In-store,Not Returned,Royal Mail,London,Low
823035,SKU_1078,White Mug,23.00,2020-03-22 17:00,99.88,44511.00,Italy,0.10,Bank Transfer,10.82,Furniture,Online,Not Returned,UPS,Rome,High
590042,SKU_1242,Wireless Mouse,15.00,2020-03-22 18:00,43.24,67467.00,Norway,0.41,Bank Transfer,5.37,Furniture,In-store,Not Returned,UPS,Rome,Low
558298,SKU_1822,Wall Clock,7.00,2020-03-22 19:00,37.85,78958.00,United Kingdom,0.36,Credit Card,16.77,Apparel,In-store,Not Returned,FedEx,Berlin,Low
576840,SKU_1500,Backpack,35.00,2020-03-22 20:00,89.28,21076.00,Norway,0.23,paypall,10.74,Furniture,Online,Not Returned,DHL,Rome,High
205228,SKU_1204,Wall Clock,18.00,2020-03-22 21:00,13.02,68007.00,United Kingdom,0.23,paypall,18.46,Accessories,In-store,Returned,UPS,Paris,High
526346,SKU_1459,White Mug,15.00,2020-03-22 22:00,8.57,87255.00,Italy,0.12,paypall,28.16,Electronics,Online,Not Returned,DHL,Paris,Medium
807116,SKU_1382,Wireless Mouse,43.00,2020-03-22 23:00,47.57,96026.00,Germany,0.08,Bank Transfer,16.89,Stationery,In-store,Not Returned,Royal Mail,Amsterdam,Low
984056,SKU_1722,T-shirt,24.00,2020-03-23 00:00,98.97,46316.00,United Kingdom,0.38,Credit Card,19.22,Accessories,In-store,Not Returned,UPS,Rome,High
781652,SKU_1332,Office Chair,39.00,2020-03-23 01:00,36.36,22219.00,Spain,0.32,Credit Card,25.85,Electronics,In-store,Not Returned,DHL,Amsterdam,High
998217,SKU_1602,Backpack,9.00,2020-03-23 02:00,69.80,60280.00,United Kingdom,0.42,Bank Transfer,9.93,Furniture,Online,Returned,FedEx,Rome,Low
