[LOG][2000-01-01 06:13] Temp: 18.9C, Press: 100.2Pa, Humid: 66.1%, Volt: 13.9V, Flow: 13.6 L/min, CO2: 383 ppm
[LOG][2001-11-04 03:51] Temp: 18.8C, Press: 101.5Pa, Humid: 57.1%, Volt: 13.0V, Flow: 11.5 L/min, CO2: 444 ppm
[LOG][2001-11-04 05:23] Temp: 19.2C, Press: 99.5Pa, Humid: 52.9%, Volt: 11.9V, Flow: 7.4 L/min, CO2: 404 ppm
[LOG][2001-11-04 06:30] Temp: 32.0C, Press: 99.2Pa, Humid: 67.3%, Volt: 11.4V, Flow: 11.0 L/min, CO2: 356 ppm
[LOG][2001-11-05 01:38] Temp: 21.6C, Press: 99.3Pa, Humid: 75.0%, Volt: 13.5V, Flow: 7.3 L/min, CO2: 363 ppm
[LOG][2001-11-05 10:27] Temp: 32.7C, Press: 104.0Pa, Humid: 46.8%, Volt: 11.8V, Flow: 7.2 L/min, CO2: 387 ppm
[LOG][2001-11-05 15:29] Temp: 18.0C, Press: 101.1Pa, Humid: 30.3%, Volt: 12.6V, Flow: 14.3 L/min, CO2: 448 ppm
[LOG][2001-11-06 16:22] Temp: 28.6C, Press: 100.4Pa, Humid: 75.3%, Volt: 11.7V, Flow: 14.5 L/min, CO2: 366 ppm
[LOG][2001-11-06 21:47] Temp: 55.7C, Press: 98.6Pa, Humid: 35.7%, Volt: 12.4V, Flow: 6.8 L/min, CO2: 357 ppm
[WARN] High Temperature Detected - Temp: 55.7C
[DEBUG] Interval Check
[LOG][2001-11-07 00:12] Temp: 19.6C, Press: 103.9Pa, Humid: 67.4%, Volt: 11.9V, Flow: 12.3 L/min, CO2: 473 ppm
[LOG][2001-11-07 20:21] Temp: 25.6C, Press: 102.4Pa, Humid: 69.3%, Volt: 11.2V, Flow: 12.8 L/min, CO2: 361 ppm
[LOG][2001-11-08 11:03] Temp: 30.1C, Press: 100.7Pa, Humid: 37.1%, Volt: 12.1V, Flow: 5.5 L/min, CO2: 447 ppm
[LOG][2001-11-08 11:31] Temp: 30.3C, Press: 100.1Pa, Humid: 47.9%, Volt: 11.0V, Flow: 7.0 L/min, CO2: 481 ppm
[LOG][2001-11-09 01:04] Temp: 22.3C, Press: 104.5Pa, Humid: 34.8%, Volt: 13.1V, Flow: 14.6 L/min, CO2: 367 ppm
[LOG][2001-11-09 15:59] Temp: 27.6C, Press: 99.4Pa, Humid: 71.6%, Volt: 11.2V, Flow: 6.6 L/min, CO2: 376 ppm
[LOG][2001-11-09 21:10] Temp: 23.8C, Press: 100.8Pa, Humid: 35.9%, Volt: 12.7V, Flow: 7.4 L/min, CO2: 393 ppm
[LOG][2001-11-10 12:00] Temp: 24.8C, Press: 104.2Pa, Humid: 78.6%, Volt: 12.3V, Flow: 11.9 L/min, CO2: 401 ppm
[LOG][2001-11-11 03:46] Temp: 21.2C, Press: 98.8Pa, Humid: 41.9%, Volt: 12.5V, Flow: 9.9 L/min, CO2: 381 ppm
[LOG][2001-11-11 20:55] Temp: 22.9C, Press: 98.4Pa, Humid: 66.0%, Volt: 12.3V, Flow: 8.5 L/min, CO2: 482 ppm
[LOG][2001-11-12 02:30] Temp: 30.8C, Press: 103.6Pa, Humid: 30.7%, Volt: 13.3V, Flow: 10.4 L/min, CO2: 418 ppm
[LOG][2001-11-12 10:15] Temp: 25.2C, Press: 98.5Pa, Humid: 33.5%, Volt: 13.1V, Flow: 10.7 L/min, CO2: 374 ppm
[LOG][2001-11-12 12:13] Temp: 29.7C, Press: 98.0Pa, Humid: 34.6%, Volt: 12.9V, Flow: 12.4 L/min, CO2: 451 ppm
[LOG][2001-11-13 08:50] Temp: 29.4C, Press: 102.8Pa, Humid: 32.9%, Volt: 12.3V, Flow: 5.1 L/min, CO2: 468 ppm
[LOG][2001-11-14 01:22] Temp: 31.9C, Press: 102.0Pa, Humid: 64.9%, Volt: 12.0V, Flow: 11.9 L/min, CO2: 446 ppm
[LOG][2001-11-14 03:16] Temp: 20.5C, Press: 101.4Pa, Humid: 73.0%, Volt: 13.7V, Flow: 6.7 L/min, CO2: 415 ppm
[LOG][2001-11-14 15:23] Temp: 33.9C, Press: 104.8Pa, Humid: 77.7%, Volt: 13.0V, Flow: 10.5 L/min, CO2: 364 ppm
[LOG][2001-11-15 08:55] Temp: 34.1C, Press: 101.5Pa, Humid: 63.0%, Volt: 13.0V, Flow: 8.1 L/min, CO2: 381 ppm
[LOG][2001-11-16 11:02] Temp: 16.5C, Press: 100.0Pa, Humid: 47.3%, Volt: 12.8V, Flow: 8.6 L/min, CO2: 490 ppm
[LOG][2001-11-16 11:48] Temp: 29.8C, Press: 101.7Pa, Humid: 37.9%, Volt: 11.3V, Flow: 14.1 L/min, CO2: 353 ppm
[LOG][2001-11-16 16:27] Temp: 33.9C, Press: 104.8Pa, Humid: 55.1%, Volt: 11.0V, Flow: 7.3 L/min, CO2: 435 ppm
[LOG][2001-11-17 02:01] Temp: 25.8C, Press: 98.2Pa, Humid: 40.7%, Volt: 12.6V, Flow: 9.2 L/min, CO2: 387 ppm
[LOG][2001-11-17 04:12] Temp: 29.3C, Press: 99.6Pa, Humid: 31.9%, Volt: 12.1V, Flow: 12.4 L/min, CO2: 375 ppm
[LOG][2001-11-17 11:02] Temp: 70.5C, Press: 101.1Pa, Humid: 39.1%, Volt: 12.1V, Flow: 9.1 L/min, CO2: 481 ppm
[WARN] High Temperature Detected - Temp: 70.5C
[LOG][2001-11-18 03:06] Temp: 28.6C, Press: 103.3Pa, Humid: 73.8%, Volt: 11.7V, Flow: 5.8 L/min, CO2: 397 ppm
[LOG][2001-11-18 04:07] Temp: 17.1C, Press: 101.6Pa, Humid: 55.8%, Volt: 11.7V, Flow: 10.4 L/min, CO2: 359 ppm
[LOG][2001-11-18 09:13] Temp: 16.4C, Press: 102.6Pa, Humid: 60.9%, Volt: 13.1V, Flow: 7.3 L/min, CO2: 358 ppm
[LOG][2001-11-19 01:57] Temp: 32.7C, Press: 101.9Pa, Humid: 52.6%, Volt: 13.4V, Flow: 8.6 L/min, CO2: 455 ppm
[LOG][2001-11-19 10:10] Temp: 15.1C, Press: 100.0Pa, Humid: 67.5%, Volt: 11.2V, Flow: 7.7 L/min, CO2: 406 ppm
[LOG][2001-11-19 16:32] Temp: 29.6C, Press: 99.2Pa, Humid: 54.3%, Volt: 13.0V, Flow: 13.4 L/min, CO2: 384 ppm
[LOG][2001-11-20 04:32] Temp: 23.1C, Press: 101.5Pa, Humid: 41.5%, Volt: 11.6V, Flow: 7.9 L/min, CO2: 484 ppm
[LOG][2001-11-20 06:09] Temp: 29.8C, Press: 101.7Pa, Humid: 75.2%, Volt: 11.7V, Flow: 13.0 L/min, CO2: 361 ppm
[LOG][2001-11-20 07:44] Temp: 15.6C, Press: 101.1Pa, Humid: 45.1%, Volt: 11.4V, Flow: 8.1 L/min, CO2: 447 ppm
[LOG][2001-11-21 04:16] Temp: 22.5C, Press: 104.8Pa, Humid: 58.0%, Volt: 12.5V, Flow: 14.4 L/min, CO2: 460 ppm
[LOG][2001-11-22 06:29] Temp: 34.3C, Press: 99.7Pa, Humid: 68.6%, Volt: 11.5V, Flow: 7.0 L/min, CO2: 488 ppm
[LOG][2001-11-22 12:56] Temp: 25.7C, Press: 103.9Pa, Humid: 58.0%, Volt: 13.3V, Flow: 9.3 L/min, CO2: 451 ppm
[LOG][2001-11-22 23:42] Temp: 24.6C, Press: 102.1Pa, Humid: 64.1%, Volt: 11.6V, Flow: 12.2 L/min, CO2: 412 ppm
[LOG][2001-11-23 17:06] Temp: 27.1C, Press: 100.7Pa, Humid: 35.4%, Volt: 11.0V, Flow: 11.6 L/min, CO2: 425 ppm
[LOG][2001-11-24 14:40] Temp: 25.1C, Press: 99.5Pa, Humid: 71.2%, Volt: 13.8V, Flow: 7.1 L/min, CO2: 357 ppm
[LOG][2001-11-24 18:34] Temp: 30.6C, Press: 99.3Pa, Humid: 78.2%, Volt: 13.8V, Flow: 10.7 L/min, CO2: 468 ppm
[LOG][2001-11-24 23:52] Temp: 4.0C, Press: 99.0Pa, Humid: 31.9%, Volt: 12.4V, Flow: 13.5 L/min, CO2: 492 ppm
[WARN] High Temperature Detected - Temp: 4.0C
[LOG][2001-11-25 01:55] Temp: 21.2C, Press: 101.6Pa, Humid: 61.8%, Volt: 11.9V, Flow: 12.8 L/min, CO2: 485 ppm
[LOG][2001-11-25 15:15] Temp: 4.0C, Press: 101.6Pa, Humid: 51.4%, Volt: 11.5V, Flow: 10.0 L/min, CO2: 356 ppm
[WARN] High Temperature Detected - Temp: 4.0C
[LOG][2001-11-25 22:55] Temp: 29.4C, Press: 101.9Pa, Humid: 64.9%, Volt: 13.8V, Flow: 9.6 L/min, CO2: 372 ppm
[LOG][2001-11-26 02:38] Temp: 26.9C, Press: 100.5Pa, Humid: 55.0%, Volt: 11.4V, Flow: 12.7 L/min, CO2: 429 ppm
[LOG][2001-11-26 08:50] Temp: 29.1C, Press: 102.6Pa, Humid: 34.6%, Volt: 12.3V, Flow: 7.4 L/min, CO2: 492 ppm
[LOG][2001-11-26 23:10] Temp: 28.4C, Press: 98.4Pa, Humid: 61.7%, Volt: 12.2V, Flow: 13.2 L/min, CO2: 452 ppm
[LOG][2001-11-27 06:51] Temp: 25.2C, Press: 98.1Pa, Humid: 66.8%, Volt: 11.6V, Flow: 5.1 L/min, CO2: 422 ppm
[LOG][2001-11-27 19:28] Temp: 20.2C, Press: 100.5Pa, Humid: 78.6%, Volt: 13.5V, Flow: 10.8 L/min, CO2: 390 ppm
[LOG][2001-11-28 00:36] Temp: 22.2C, Press: 103.7Pa, Humid: 49.5%, Volt: 11.9V, Flow: 11.1 L/min, CO2: 389 ppm
[LOG][2001-11-29 07:39] Temp: 26.0C, Press: 101.7Pa, Humid: 30.8%, Volt: 13.8V, Flow: 5.3 L/min, CO2: 363 ppm
[LOG][2001-11-29 10:51] Temp: 27.6C, Press: 102.1Pa, Humid: 34.1%, Volt: 12.8V, Flow: 6.7 L/min, CO2: 389 ppm
[LOG][2001-11-30 06:39] Temp: 22.0C, Press: 99.2Pa, Humid: 32.8%, Volt: 12.9V, Flow: 7.4 L/min, CO2: 492 ppm
[LOG][2001-11-30 08:35] Temp: 32.5C, Press: 101.7Pa, Humid: 32.9%, Volt: 11.8V, Flow: 11.1 L/min, CO2: 382 ppm
[LOG][2001-11-30 09:23] Temp: 34.9C, Press: 103.3Pa, Humid: 49.9%, Volt: 11.4V, Flow: 9.7 L/min, CO2: 426 ppm
[LOG][2001-12-01 08:25] Temp: 24.6C, Press: 102.3Pa, Humid: 35.2%, Volt: 13.2V, Flow: 12.0 L/min, CO2: 370 ppm
[LOG][2001-12-01 15:43] Temp: 16.9C, Press: 100.9Pa, Humid: 68.7%, Volt: 11.5V, Flow: 12.5 L/min, CO2: 430 ppm
[LOG][2001-12-02 16:31] Temp: 18.5C, Press: 100.6Pa, Humid: 65.5%, Volt: 13.4V, Flow: 13.2 L/min, CO2: 480 ppm
[LOG][2001-12-02 22:11] Temp: 15.4C, Press: 98.2Pa, Humid: 44.2%, Volt: 13.1V, Flow: 10.1 L/min, CO2: 438 ppm
[LOG][2001-12-02 23:01] Temp: 23.6C, Press: 100.8Pa, Humid: 54.3%, Volt: 11.6V, Flow: 12.3 L/min, CO2: 354 ppm
[LOG][2001-12-03 14:29] Temp: 18.8C, Press: 99.9Pa, Humid: 79.5%, Volt: 11.6V, Flow: 7.2 L/min, CO2: 449 ppm
[LOG][2001-12-03 17:59] Temp: 32.0C, Press: 101.8Pa, Humid: 76.4%, Volt: 13.6V, Flow: 8.5 L/min, CO2: 495 ppm
[LOG][2001-12-03 18:15] Temp: 34.2C, Press: 101.7Pa, Humid: 49.0%, Volt: 11.2V, Flow: 5.9 L/min, CO2: 447 ppm
[LOG][2001-12-04 15:46] Temp: 30.1C, Press: 102.5Pa, Humid: 51.2%, Volt: 12.2V, Flow: 14.7 L/min, CO2: 480 ppm
[LOG][2001-12-05 03:00] Temp: 27.3C, Press: 98.7Pa, Humid: 54.3%, Volt: 11.8V, Flow: 12.5 L/min, CO2: 491 ppm
[LOG][2001-12-05 08:44] Temp: 19.4C, Press: 100.6Pa, Humid: 52.6%, Volt: 11.7V, Flow: 9.5 L/min, CO2: 358 ppm
[LOG][2001-12-06 08:10] Temp: 26.7C, Press: 100.9Pa, Humid: 72.5%, Volt: 12.6V, Flow: 13.3 L/min, CO2: 354 ppm
[LOG][2001-12-06 23:56] Temp: 20.2C, Press: 100.2Pa, Humid: 44.2%, Volt: 13.3V, Flow: 7.9 L/min, CO2: 389 ppm
[LOG][2001-12-07 01:30] Temp: 20.3C, Press: 103.0Pa, Humid: 55.6%, Volt: 12.6V, Flow: 5.9 L/min, CO2: 360 ppm
[LOG][2001-12-08 04:02] Temp: 16.1C, Press: 99.6Pa, Humid: 31.9%, Volt: 13.7V, Flow: 8.8 L/min, CO2: 414 ppm
[LOG][2001-12-08 13:00] Temp: 27.3C, Press: 99.3Pa, Humid: 34.6%, Volt: 13.6V, Flow: 6.0 L/min, CO2: 499 ppm
[LOG][2001-12-08 13:35] Temp: 18.7C, Press: 99.0Pa, Humid: 37.2%, Volt: 12.0V, Flow: 14.5 L/min, CO2: 465 ppm
[LOG][2001-12-09 19:45] Temp: 26.9C, Press: 102.1Pa, Humid: 70.2%, Volt: 11.4V, Flow: 12.1 L/min, CO2: 374 ppm
[LOG][2001-12-09 21:12] Temp: 27.4C, Press: 103.3Pa, Humid: 68.7%, Volt: 12.9V, Flow: 7.8 L/min, CO2: 469 ppm
[LOG][2001-12-10 07:55] Temp: 34.6C, Press: 100.1Pa, Humid: 59.8%, Volt: 11.5V, Flow: 7.8 L/min, CO2: 382 ppm
[LOG][2001-12-10 19:15] Temp: 28.6C, Press: 102.5Pa, Humid: 56.6%, Volt: 12.8V, Flow: 5.1 L/min, CO2: 476 ppm
[LOG][2001-12-10 22:04] Temp: 18.2C, Press: 99.4Pa, Humid: 53.3%, Volt: 12.3V, Flow: 6.5 L/min, CO2: 363 ppm
[LOG][2001-12-11 06:39] Temp: 15.8C, Press: 104.6Pa, Humid: 35.6%, Volt: 11.6V, Flow: 5.2 L/min, CO2: 380 ppm
[LOG][2001-12-12 14:12] Temp: 15.9C, Press: 101.8Pa, Humid: 54.9%, Volt: 12.7V, Flow: 12.0 L/min, CO2: 411 ppm
[LOG][2001-12-12 20:18] Temp: 24.5C, Press: 102.9Pa, Humid: 56.5%, Volt: 11.6V, Flow: 5.1 L/min, CO2: 479 ppm
[LOG][2001-12-13 14:56] Temp: 24.6C, Press: 104.0Pa, Humid: 71.9%, Volt: 12.7V, Flow: 7.0 L/min, CO2: 458 ppm
[LOG][2001-12-14 01:53] Temp: 25.2C, Press: 99.8Pa, Humid: 43.3%, Volt: 13.2V, Flow: 14.4 L/min, CO2: 406 ppm
[LOG][2001-12-14 12:20] Temp: 20.7C, Press: 102.0Pa, Humid: 78.7%, Volt: 11.1V, Flow: 8.5 L/min, CO2: 379 ppm
[LOG][2001-12-14 12:24] Temp: 30.0C, Press: 98.2Pa, Humid: 47.1%, Volt: 13.6V, Flow: 8.7 L/min, CO2: 496 ppm
[LOG][2001-12-15 00:34] Temp: 21.4C, Press: 100.6Pa, Humid: 46.3%, Volt: 12.7V, Flow: 14.5 L/min, CO2: 398 ppm
[LOG][2001-12-15 07:32] Temp: 23.7C, Press: nanPa, Humid: nan%, Volt: 11.2V, Flow: 7.9 L/min, CO2: nan ppm
[ERROR] Sensor Disconnected - Humid: nan, Press: nan, CO2: nan
[LOG][2001-12-16 02:23] Temp: 30.3C, Press: 100.0Pa, Humid: 32.4%, Volt: 14.0V, Flow: 8.4 L/min, CO2: 457 ppm
[LOG][2001-12-16 04:31] Temp: 30.9C, Press: 98.1Pa, Humid: 53.9%, Volt: 13.7V, Flow: 10.5 L/min, CO2: 486 ppm
[LOG][2001-12-16 12:14] Temp: 24.7C, Press: 103.2Pa, Humid: 60.7%, Volt: 12.8V, Flow: 10.4 L/min, CO2: 469 ppm
[LOG][2001-12-17 01:11] Temp: 32.7C, Press: 98.7Pa, Humid: 68.6%, Volt: 11.6V, Flow: 14.3 L/min, CO2: 460 ppm
[LOG][2001-12-18 07:06] Temp: 22.4C, Press: 100.9Pa, Humid: 78.7%, Volt: 11.5V, Flow: 14.4 L/min, CO2: 404 ppm
[LOG][2001-12-18 12:03] Temp: 32.2C, Press: 101.2Pa, Humid: 66.8%, Volt: 13.0V, Flow: 6.5 L/min, CO2: 475 ppm
[LOG][2001-12-18 21:52] Temp: 26.5C, Press: 102.5Pa, Humid: 53.7%, Volt: 12.5V, Flow: 10.1 L/min, CO2: 383 ppm
[LOG][2001-12-19 19:12] Temp: 22.1C, Press: 102.6Pa, Humid: 36.8%, Volt: 11.0V, Flow: 12.6 L/min, CO2: 434 ppm
[LOG][2001-12-19 19:47] Temp: 27.4C, Press: 100.0Pa, Humid: 30.8%, Volt: 14.0V, Flow: 7.6 L/min, CO2: 484 ppm
[LOG][2001-12-19 22:19] Temp: 25.3C, Press: 99.2Pa, Humid: 38.7%, Volt: 12.2V, Flow: 15.0 L/min, CO2: 445 ppm
[LOG][2001-12-20 16:27] Temp: 15.1C, Press: 103.4Pa, Humid: 31.3%, Volt: 13.3V, Flow: 10.7 L/min, CO2: 468 ppm
[LOG][2001-12-21 01:27] Temp: 24.9C, Press: 103.6Pa, Humid: 51.9%, Volt: 13.2V, Flow: 12.9 L/min, CO2: 410 ppm
[LOG][2001-12-21 06:08] Temp: 25.9C, Press: 104.3Pa, Humid: 75.4%, Volt: 12.6V, Flow: 13.2 L/min, CO2: 448 ppm
[LOG][2001-12-22 02:31] Temp: 31.2C, Press: 101.6Pa, Humid: 48.9%, Volt: 12.6V, Flow: 7.5 L/min, CO2: 438 ppm
[LOG][2001-12-23 14:36] Temp: 22.1C, Press: 101.1Pa, Humid: 37.1%, Volt: 12.0V, Flow: 8.9 L/min, CO2: 421 ppm
[LOG][2001-12-24 02:28] Temp: 22.3C, Press: 103.4Pa, Humid: 74.0%, Volt: 12.5V, Flow: 13.8 L/min, CO2: 489 ppm
[LOG][2001-12-24 18:14] Temp: 29.7C, Press: 99.2Pa, Humid: 60.9%, Volt: 12.8V, Flow: 13.2 L/min, CO2: 445 ppm
[LOG][2001-12-24 22:50] Temp: 16.3C, Press: 102.0Pa, Humid: 35.5%, Volt: 13.2V, Flow: 9.4 L/min, CO2: 446 ppm
[LOG][2001-12-25 09:06] Temp: 22.4C, Press: 100.8Pa, Humid: 61.5%, Volt: 12.6V, Flow: 6.0 L/min, CO2: 364 ppm
[LOG][2001-12-25 12:09] Temp: 28.3C, Press: 104.8Pa, Humid: 41.8%, Volt: 12.2V, Flow: 12.5 L/min, CO2: 373 ppm
[LOG][2001-12-25 20:58] Temp: 33.8C, Press: 100.0Pa, Humid: 61.2%, Volt: 11.9V, Flow: 5.6 L/min, CO2: 358 ppm
[LOG][2001-12-26 05:12] Temp: 24.9C, Press: 104.9Pa, Humid: 64.8%, Volt: 13.9V, Flow: 5.7 L/min, CO2: 388 ppm
[LOG][2001-12-26 07:38] Temp: 25.1C, Press: 104.8Pa, Humid: 61.8%, Volt: 11.6V, Flow: 7.9 L/min, CO2: 396 ppm
[LOG][2001-12-27 01:14] Temp: 26.1C, Press: 100.8Pa, Humid: 38.2%, Volt: 12.1V, Flow: 7.7 L/min, CO2: 478 ppm
[LOG][2001-12-27 08:32] Temp: 25.8C, Press: 104.2Pa, Humid: 62.8%, Volt: 12.2V, Flow: 12.8 L/min, CO2: 498 ppm
[LOG][2001-12-27 08:37] Temp: 22.4C, Press: nanPa, Humid: nan%, Volt: 13.2V, Flow: 14.0 L/min, CO2: 423 ppm
[ERROR] Sensor Disconnected - Humid: nan, Press: nan
[LOG][2001-12-28 06:40] Temp: 34.0C, Press: 101.6Pa, Humid: 41.3%, Volt: 11.7V, Flow: 8.8 L/min, CO2: 444 ppm
[LOG][2001-12-28 11:31] Temp: 17.1C, Press: 101.2Pa, Humid: 69.0%, Volt: 13.8V, Flow: 14.5 L/min, CO2: 467 ppm
[LOG][2001-12-28 19:07] Temp: 26.1C, Press: 100.7Pa, Humid: 41.0%, Volt: 11.4V, Flow: 9.2 L/min, CO2: 438 ppm
[LOG][2001-12-29 10:06] Temp: 23.5C, Press: 100.8Pa, Humid: 60.7%, Volt: 11.2V, Flow: 5.5 L/min, CO2: 472 ppm
[LOG][2001-12-30 06:51] Temp: 28.0C, Press: 102.2Pa, Humid: 51.7%, Volt: 11.1V, Flow: 10.6 L/min, CO2: 360 ppm
[LOG][2001-12-30 15:47] Temp: 25.1C, Press: 103.5Pa, Humid: 36.7%, Volt: 13.6V, Flow: 14.7 L/min, CO2: 416 ppm
[LOG][2001-12-31 02:36] Temp: 26.0C, Press: 104.8Pa, Humid: 59.3%, Volt: 11.2V, Flow: 8.1 L/min, CO2: 489 ppm
[LOG][2001-12-31 20:13] Temp: 22.6C, Press: 98.1Pa, Humid: 47.9%, Volt: 12.9V, Flow: 7.9 L/min, CO2: 427 ppm
[LOG][2002-01-01 01:18] Temp: 24.4C, Press: 102.0Pa, Humid: 47.2%, Volt: 11.4V, Flow: 7.1 L/min, CO2: 499 ppm
[LOG][2002-01-01 09:15] Temp: 32.1C, Press: 101.4Pa, Humid: 65.8%, Volt: 13.9V, Flow: 12.9 L/min, CO2: 426 ppm
[LOG][2002-01-01 10:44] Temp: 19.8C, Press: 102.1Pa, Humid: 39.2%, Volt: 11.9V, Flow: 8.4 L/min, CO2: 419 ppm
[LOG][2002-01-02 15:53] Temp: 17.6C, Press: 100.6Pa, Humid: 71.7%, Volt: 11.1V, Flow: 11.5 L/min, CO2: 473 ppm
[LOG][2002-01-02 19:14] Temp: 19.9C, Press: 102.6Pa, Humid: 55.5%, Volt: 11.5V, Flow: 7.9 L/min, CO2: 378 ppm
[LOG][2002-01-03 00:24] Temp: 34.4C, Press: 99.8Pa, Humid: 36.7%, Volt: 11.3V, Flow: 5.8 L/min, CO2: 352 ppm
[LOG][2002-01-03 07:10] Temp: 34.1C, Press: 102.9Pa, Humid: 61.0%, Volt: 11.1V, Flow: 14.7 L/min, CO2: 495 ppm
[LOG][2002-01-04 09:02] Temp: 29.2C, Press: 103.4Pa, Humid: 74.6%, Volt: 13.5V, Flow: 9.2 L/min, CO2: 357 ppm
[LOG][2002-01-04 19:52] Temp: 23.5C, Press: 101.3Pa, Humid: 41.1%, Volt: 11.4V, Flow: 9.7 L/min, CO2: 369 ppm
[LOG][2002-01-04 21:46] Temp: 21.4C, Press: 104.0Pa, Humid: 36.1%, Volt: 13.8V, Flow: 7.0 L/min, CO2: 368 ppm
[LOG][2002-01-05 14:29] Temp: 32.0C, Press: 101.4Pa, Humid: 69.4%, Volt: 12.3V, Flow: 8.4 L/min, CO2: 364 ppm
[LOG][2002-01-05 14:47] Temp: 18.2C, Press: 99.7Pa, Humid: 50.1%, Volt: 12.0V, Flow: 8.2 L/min, CO2: 452 ppm
[LOG][2002-01-05 22:03] Temp: 18.9C, Press: 104.7Pa, Humid: 69.7%, Volt: 13.9V, Flow: 11.8 L/min, CO2: 405 ppm
[LOG][2002-01-06 00:23] Temp: 21.0C, Press: 102.2Pa, Humid: 41.9%, Volt: 13.6V, Flow: 13.9 L/min, CO2: 396 ppm
[LOG][2002-01-06 12:32] Temp: 17.9C, Press: 104.0Pa, Humid: 73.1%, Volt: 11.0V, Flow: 10.0 L/min, CO2: 418 ppm
[LOG][2002-01-06 20:41] Temp: 22.3C, Press: 101.5Pa, Humid: 64.9%, Volt: 11.5V, Flow: 10.5 L/min, CO2: 390 ppm
[LOG][2002-01-07 13:30] Temp: 16.8C, Press: 100.3Pa, Humid: 31.6%, Volt: 13.0V, Flow: 5.8 L/min, CO2: 376 ppm
[LOG][2002-01-08 01:35] Temp: 17.5C, Press: 99.2Pa, Humid: 32.2%, Volt: 13.1V, Flow: 13.0 L/min, CO2: 396 ppm
[LOG][2002-01-08 02:09] Temp: 34.8C, Press: 103.0Pa, Humid: 31.8%, Volt: 13.0V, Flow: 5.3 L/min, CO2: 488 ppm
[LOG][2002-01-08 23:21] Temp: 34.0C, Press: 101.4Pa, Humid: 37.5%, Volt: 12.0V, Flow: 27.4 L/min, CO2: 427 ppm
[LOG][2002-01-09 12:29] Temp: 22.4C, Press: 102.2Pa, Humid: 55.4%, Volt: 18.4V, Flow: 10.2 L/min, CO2: 1793 ppm
[LOG][2002-01-09 16:38] Temp: 24.8C, Press: 100.0Pa, Humid: 39.2%, Volt: 11.5V, Flow: 8.1 L/min, CO2: 396 ppm
[LOG][2002-01-10 11:17] Temp: 29.6C, Press: 98.4Pa, Humid: 52.7%, Volt: 13.9V, Flow: 14.6 L/min, CO2: 359 ppm
[LOG][2002-01-10 17:12] Temp: 15.3C, Press: 102.6Pa, Humid: 57.2%, Volt: 13.9V, Flow: 9.3 L/min, CO2: 415 ppm
[LOG][2002-01-10 18:43] Temp: 34.3C, Press: 100.9Pa, Humid: 49.1%, Volt: 11.4V, Flow: 11.9 L/min, CO2: 407 ppm
[LOG][2002-01-11 04:12] Temp: 22.5C, Press: 104.2Pa, Humid: 52.0%, Volt: 11.0V, Flow: 14.2 L/min, CO2: 433 ppm
[LOG][2002-01-11 12:14] Temp: 34.4C, Press: 98.4Pa, Humid: 35.6%, Volt: 13.1V, Flow: 6.4 L/min, CO2: 387 ppm
[LOG][2002-01-11 13:44] Temp: 32.4C, Press: 98.8Pa, Humid: 43.6%, Volt: 12.9V, Flow: 13.0 L/min, CO2: 488 ppm
[LOG][2002-01-12 01:28] Temp: 20.7C, Press: 98.7Pa, Humid: 64.0%, Volt: 12.0V, Flow: 10.0 L/min, CO2: 500 ppm
[LOG][2002-01-13 17:18] Temp: 18.0C, Press: 104.1Pa, Humid: 50.3%, Volt: 13.9V, Flow: 14.7 L/min, CO2: 454 ppm
[LOG][2002-01-14 02:10] Temp: 19.7C, Press: 103.1Pa, Humid: 67.0%, Volt: 12.7V, Flow: 6.4 L/min, CO2: 432 ppm
[LOG][2002-01-14 07:34] Temp: 23.7C, Press: 99.7Pa, Humid: 58.6%, Volt: 12.1V, Flow: 12.8 L/min, CO2: 381 ppm
[LOG][2002-01-15 11:24] Temp: 18.4C, Press: 98.2Pa, Humid: 44.3%, Volt: 11.4V, Flow: 13.6 L/min, CO2: 376 ppm
[LOG][2002-01-15 18:37] Temp: 28.5C, Press: 100.6Pa, Humid: 3.3%, Volt: 13.9V, Flow: 10.6 L/min, CO2: 424 ppm
[LOG][2002-01-15 18:56] Temp: 21.3C, Press: 101.7Pa, Humid: 74.3%, Volt: 12.3V, Flow: 8.1 L/min, CO2: 398 ppm
[LOG][2002-01-16 07:26] Temp: 23.5C, Press: 103.2Pa, Humid: 35.1%, Volt: 12.8V, Flow: 5.3 L/min, CO2: 378 ppm
[LOG][2002-01-16 16:50] Temp: 31.2C, Press: 103.7Pa, Humid: 40.7%, Volt: 12.1V, Flow: 13.3 L/min, CO2: 381 ppm
[LOG][2002-01-17 05:18] Temp: 28.1C, Press: 103.2Pa, Humid: 53.6%, Volt: 13.7V, Flow: 5.7 L/min, CO2: 451 ppm
[LOG][2002-01-17 14:57] Temp: 27.9C, Press: 103.1Pa, Humid: 59.6%, Volt: 11.1V, Flow: 13.7 L/min, CO2: 486 ppm
[LOG][2002-01-18 01:27] Temp: nanC, Press: nanPa, Humid: nan%, Volt: 13.2V, Flow: 12.0 L/min, CO2: 355 ppm
[ERROR] Sensor Disconnected - Temp: nan, Humid: nan, Press: nan
[LOG][2002-01-18 02:44] Temp: 27.3C, Press: 102.4Pa, Humid: 78.2%, Volt: 11.3V, Flow: 11.9 L/min, CO2: 363 ppm
